Node_ID EB_TX EACK_TX DIO_TX DIS_TX DAO_TX DAO_ACK_TX CoAP_TX
1 3145 8892 96 0 0 435 36893
2 3182 1558 96 0 434 60 6933
3 3219 1938 96 0 195 68 7020
4 3182 760 96 0 93 0 1533
5 3182 8056 96 0 273 120 48016
6 3182 779 96 0 93 0 1533
7 3145 760 96 0 93 0 1460
8 3145 3439 96 0 93 0 22467
9 3219 2736 192 0 273 128 11881
10 3182 399 96 0 85 0 1606
0 0 0 0 0 0 0 0
1 3145 8911 96 0 0 435 36811
2 3182 1558 96 0 434 60 6933
3 3219 1938 96 0 195 68 7020
4 3219 779 96 0 93 0 1533
5 3182 8075 96 0 273 120 48016
6 3182 779 96 0 93 0 1533
7 3145 760 192 0 93 0 1460
8 3182 3439 96 0 93 0 22467
9 3219 2736 96 0 273 128 11881
10 3219 399 96 0 85 0 1606
0 0 0 0 0 0 0 0
1 3182 8911 96 0 0 435 36401
2 3219 1558 96 0 434 60 6771
3 3182 1957 96 0 195 68 6918
4 3219 779 96 0 93 0 1533
5 3145 8075 96 0 273 120 47808
6 3219 779 192 0 93 0 1460
7 3182 760 192 0 93 0 1460
8 3182 3439 96 0 93 0 22467
9 3182 2736 96 0 273 128 11799
10 3219 399 96 0 85 0 1606
0 0 0 0 0 0 0 0
1 3182 8911 96 0 0 435 36328
2 3256 1558 96 0 434 60 6771
3 3219 1957 96 0 195 68 6918
4 3219 779 96 0 93 0 1533
5 3145 8075 96 0 273 120 47808
6 3182 779 192 0 93 0 1460
7 3182 760 96 0 93 0 1460
8 3145 3439 96 0 93 0 22467
9 3219 2736 96 0 273 128 11719
10 3219 399 96 0 85 0 1606
0 0 0 0 0 0 0 0
1 3145 8892 96 0 0 435 36406
2 3219 1558 96 0 434 60 6771
3 3219 1957 96 0 195 68 7000
4 3219 779 96 0 93 0 1533
5 3182 8056 96 0 273 120 47736
6 3182 779 96 0 93 0 1460
7 3182 760 96 0 93 0 1460
8 3145 3420 96 0 93 0 22346
9 3182 2736 96 0 273 128 11719
10 3219 399 96 0 85 0 1606
0 0 0 0 0 0 0 0
1 3182 8892 96 0 0 384 36198
2 3219 1577 96 0 340 0 6340
3 3219 1957 96 0 93 68 6781
4 3219 779 96 0 93 0 1533
5 3145 8056 96 0 179 120 47654
6 3145 779 96 0 93 0 1460
7 3182 760 96 0 0.0 0 1460
8 3182 3420 96 0 0.0 0 22225
9 3182 2736 96 0 179 60 11637
10 3219 399 96 0 0.0 0 1606
0 0 0 0 0 0 0 0
