77264	10	-	 96: 15.4 D 7A:00:0A:00:0A:00:0A:00 0x0AFF|3B3A1A9B 01E1F11E F1020008 F00000FD 00000000 00000002 01000100 01000104 0E00080C 0A038000 80000100 1E003C08 1E404000 00000000 00000000 000000FD 00000000 00000000 00000000 000000
77884	5	1,3,10	 26: 15.4 D 7A:00:05:00:05:00:05:00 0x05FF|3B3A1A9B 00650D00 00
78084	10	1	101: 15.4 D F7:7E:00:0A:00:0A:00:0A 00:01:00:01:00:01:00:01|00E03A06 6304001E 02009B02 3DAB1EC0 00F1FD00 00000000 00000201 00010001 00010512 0080FD00 00000000 0000020A 000A000A 000A0614 0000001E FD000000 00000000 02010001 00010001
78088	1	10	 19: 15.4 A |020F0000
78174	1	-	 35: 15.4 D F7:7A:00:01:00:01:00:01 00:0A:00:0A:00:0A:00:0A|003A9B03 578B1E00 F100
78344	1	2,10	 35: 15.4 D F7:7A:00:01:00:01:00:01 00:0A:00:0A:00:0A:00:0A|003A9B03 578B1E00 F100
78346	10	1,2	 19: 15.4 A |020F0000
79104	3	1	101: 15.4 D F7:7E:00:03:00:03:00:03 00:01:00:01:00:01:00:01|00E03A06 6304001E 02009B02 3DE31EC0 00F1FD00 00000000 00000201 00010001 00010512 0080FD00 00000000 00000203 00030003 00030614 0000001E FD000000 00000000 02010001 00010001
79108	1	3	 19: 15.4 A |020F0000
79124	1	3,9,10	 35: 15.4 D F7:7A:00:01:00:01:00:01 00:03:00:03:00:03:00:03|003A9B03 57A71E00 F100
79126	3	1	 19: 15.4 A |020F0000
79434	9	-	 96: 15.4 D 7A:00:09:00:09:00:09:00 0x09FF|3B3A1A9B 01E2041E F101F108 F00000FD 00000000 00000002 01000100 01000104 0E00080C 0A038000 80000100 1E003C08 1E404000 00000000 00000000 000000FD 00000000 00000000 00000000 000000
81604	1	3,9,10	 96: 15.4 D 7A:00:01:00:01:00:01:00 0x01FF|3B3A1A9B 01E3951E F1008008 F00000FD 00000000 00000002 01000100 01000104 0E00080C 0A038000 80000100 1E003C08 1E404000 00000000 00000000 000000FD 00000000 00000000 00000000 000000
82844	10	3,5,9	 96: 15.4 D 7A:00:0A:00:0A:00:0A:00 0x0AFF|3B3A1A9B 01E2311E F101C008 F00000FD 00000000 00000002 01000100 01000104 0E00080C 0A038000 80000100 1E003C08 1E404000 00000000 00000000 000000FD 00000000 00000000 00000000 000000
83764	1	2,3,9,10	 37: 15.4 - 00:00:01:00:01:00:01:00 0x01FF|3F118806 1A922000 00000001 1C0001C8 00011B00
85944	3	1,9	 96: 15.4 D 7A:00:03:00:03:00:03:00 0x03FF|3B3A1A9B 01E24D1E F101C008 F00000FD 00000000 00000002 01000100 01000104 0E00080C 0A038000 80000100 1E003C08 1E404000 00000000 00000000 000000FD 00000000 00000000 00000000 000000
87184	5	2,3	 96: 15.4 D 7A:00:05:00:05:00:05:00 0x05FF|3B3A1A9B 01E0C51E F1034008 F00000FD 00000000 00000002 01000100 01000104 0E00080C 0A038000 80000100 1E003C08 1E404000 00000000 00000000 000000FD 00000000 00000000 00000000 000000
87494	1	2,3,5,9,10	 96: 15.4 D 7A:00:01:00:01:00:01:00 0x01FF|3B3A1A9B 01E3951E F1008008 F00000FD 00000000 00000002 01000100 01000104 0E00080C 0A038000 80000100 1E003C08 1E404000 00000000 00000000 000000FD 00000000 00000000 00000000 000000
87774	5	-	 37: 15.4 - 00:00:05:00:05:00:05:00 0x05FF|3F118806 1A232200 00000501 1C0001C8 00011B00
87814	9	-	 37: 15.4 - 00:00:09:00:09:00:09:00 0x09FF|3F118806 1A272200 00000301 1C0001C8 00011B00
88714	5	-	109: 15.4 D F5:7E:00:05:00:05:00:05 00:0A:00:0A:00:0A:00:0A|00020100 01000100 01E03A06 6304001E 03409B02 3DAF1EC0 00F1FD00 00000000 00000201 00010001 00010512 0080FD00 00000000 00000205 00050005 00050614 0000001E FD000000 00000000 020A000A 000A000A
88884	5	-	109: 15.4 D F5:7E:00:05:00:05:00:05 00:0A:00:0A:00:0A:00:0A|00020100 01000100 01E03A06 6304001E 03409B02 3DAF1EC0 00F1FD00 00000000 00000201 00010001 00010512 0080FD00 00000000 00000205 00050005 00050614 0000001E FD000000 00000000 020A000A 000A000A
89054	5	-	109: 15.4 D F5:7E:00:05:00:05:00:05 00:0A:00:0A:00:0A:00:0A|00020100 01000100 01E03A06 6304001E 03409B02 3DAF1EC0 00F1FD00 00000000 00000201 00010001 00010512 0080FD00 00000000 00000205 00050005 00050614 0000001E FD000000 00000000 020A000A 000A000A
89224	5	4,10	109: 15.4 D F5:7E:00:05:00:05:00:05 00:0A:00:0A:00:0A:00:0A|00020100 01000100 01E03A06 6304001E 03409B02 3DAF1EC0 00F1FD00 00000000 00000201 00010001 00010512 0080FD00 00000000 00000205 00050005 00050614 0000001E FD000000 00000000 020A000A 000A000A
89228	10	5	 19: 15.4 A |020F0000
89304	2	1	101: 15.4 D F7:7E:00:02:00:02:00:02 00:01:00:01:00:01:00:01|00E03A06 6304001E 02009B02 3DEB1EC0 00F1FD00 00000000 00000201 00010001 00010512 0080FD00 00000000 00000202 00020002 00020614 0000001E FD000000 00000000 02010001 00010001
89304	10	-	110: 15.4 D D7:7C:00:0A:00:0A:00:0A 00:01:00:01:00:01:00:01|003F0205 00050005 0005E03A 06630400 1E01C09B 023DAF1E C000F1FD 00000000 00000002 01000100 01000105 120080FD 00000000 00000002 05000500 05000506 14000000 1EFD0000 00000000 00020A00 0A000A00 0A
89308	1	2	 19: 15.4 A |020F0000
89314	1	2	 35: 15.4 D F7:7A:00:01:00:01:00:01 00:02:00:02:00:02:00:02|003A9B03 57AB1E00 F100
89316	2	1	 19: 15.4 A |020F0000
89474	10	1	110: 15.4 D D7:7C:00:0A:00:0A:00:0A 00:01:00:01:00:01:00:01|003F0205 00050005 0005E03A 06630400 1E01C09B 023DAF1E C000F1FD 00000000 00000002 01000100 01000105 120080FD 00000000 00000002 05000500 05000506 14000000 1EFD0000 00000000 00020A00 0A000A00 0A
89478	1	-	 19: 15.4 A |020F0000
89564	1	10	 51: 15.4 D F7:7E:00:01:00:01:00:01 00:0A:00:0A:00:0A:00:0A|00E23A0E 03019910 00000500 05000500 05009B03 579F1E00 F100
89566	10	1	 19: 15.4 A |020F0000
89644	10	-	110: 15.4 D D7:7C:00:0A:00:0A:00:0A 00:01:00:01:00:01:00:01|003F0205 00050005 0005E03A 06630400 1E01C09B 023DAF1E C000F1FD 00000000 00000002 01000100 01000105 120080FD 00000000 00000002 05000500 05000506 14000000 1EFD0000 00000000 00020A00 0A000A00 0A
89684	10	5	 60: 15.4 D D7:7C:00:0A:00:0A:00:0A 00:05:00:05:00:05:00:05|003F0201 00010001 0001E23A 0E030099 1000000A 000A000A 000A009B 03579F1E 00F100
89687	5	8,10	 19: 15.4 A |020F0000
89814	10	1	110: 15.4 D D7:7C:00:0A:00:0A:00:0A 00:01:00:01:00:01:00:01|003F0205 00050005 0005E03A 06630400 1E01C09B 023DAF1E C000F1FD 00000000 00000002 01000100 01000105 120080FD 00000000 00000002 05000500 05000506 14000000 1EFD0000 00000000 00020A00 0A000A00 0A
89818	1	-	 19: 15.4 A |020F0000
90154	10	1	110: 15.4 D D7:7C:00:0A:00:0A:00:0A 00:01:00:01:00:01:00:01|003F0205 00050005 0005E03A 06630400 1E01C09B 023DAF1E C000F1FD 00000000 00000002 01000100 01000105 120080FD 00000000 00000002 05000500 05000506 14000000 1EFD0000 00000000 00020A00 0A000A00 0A
90158	1	10	 19: 15.4 A |020F0000
91724	3	-	 37: 15.4 - 00:00:03:00:03:00:03:00 0x03FF|3F118806 1AAE2300 00000201 1C0001C8 00011B00
91794	10	5	 37: 15.4 - 00:00:0A:00:0A:00:0A:00 0x0AFF|3F118806 1AB52300 00000201 1C0001C8 00011B00
91834	2	5,9,10	 96: 15.4 D 7A:00:02:00:02:00:02:00 0x02FF|3B3A1A9B 01E2511E F101C008 F00000FD 00000000 00000002 01000100 01000104 0E00080C 0A038000 80000100 1E003C08 1E404000 00000000 00000000 000000FD 00000000 00000000 00000000 000000
93694	5	1,2,10	 96: 15.4 D 7A:00:05:00:05:00:05:00 0x05FF|3B3A1A9B 01E0B91E F1034C08 F00000FD 00000000 00000002 01000100 01000104 0E00080C 0A038000 80000100 1E003C08 1E404000 00000000 00000000 000000FD 00000000 00000000 00000000 000000
95554	10	1,2,9	 96: 15.4 D 7A:00:0A:00:0A:00:0A:00 0x0AFF|3B3A1A9B 01E2111E F101E008 F00000FD 00000000 00000002 01000100 01000104 0E00080C 0A038000 80000100 1E003C08 1E404000 00000000 00000000 000000FD 00000000 00000000 00000000 000000
95684	2	10	 37: 15.4 - 00:00:02:00:02:00:02:00 0x02FF|3F118806 1A3A2500 00000201 1C0001C8 00011B00
95864	2	1,5,7,9,10	 96: 15.4 D 7A:00:02:00:02:00:02:00 0x02FF|3B3A1A9B 01E2511E F101C008 F00000FD 00000000 00000002 01000100 01000104 0E00080C 0A038000 80000100 1E003C08 1E404000 00000000 00000000 000000FD 00000000 00000000 00000000 000000
97724	3	-	 96: 15.4 D 7A:00:03:00:03:00:03:00 0x03FF|3B3A1A9B 01E24D1E F101C008 F00000FD 00000000 00000002 01000100 01000104 0E00080C 0A038000 80000100 1E003C08 1E404000 00000000 00000000 000000FD 00000000 00000000 00000000 000000
98994	9	-	 23: 15.4 D D9:B1:00:09:00:09:00:09 00:01:00:01:00:01:00:01
99164	9	1	 23: 15.4 D D9:B1:00:09:00:09:00:09 00:01:00:01:00:01:00:01
99165	1	9	 19: 15.4 A |020F0000
99504	3	-	 23: 15.4 D D9:7F:00:03:00:03:00:03 00:01:00:01:00:01:00:01
99644	1	3,9,10	 37: 15.4 - 00:00:01:00:01:00:01:00 0x01FF|3F118806 1AC62600 00000001 1C0001C8 00011B00
99674	3	1	 23: 15.4 D D9:7F:00:03:00:03:00:03 00:01:00:01:00:01:00:01
99675	1	3	 19: 15.4 A |020F0000
100694	2	1	 23: 15.4 D 25:A6:00:02:00:02:00:02 00:01:00:01:00:01:00:01
100695	1	-	 19: 15.4 A |020F0000
100864	2	1,7	 23: 15.4 D 25:A6:00:02:00:02:00:02 00:01:00:01:00:01:00:01
100865	1	2	 19: 15.4 A |020F0000
102824	5	8,10	 23: 15.4 D B8:16:00:05:00:05:00:05 00:0A:00:0A:00:0A:00:0A
102825	10	-	 19: 15.4 A |020F0000
102994	5	7,10	 23: 15.4 D B8:16:00:05:00:05:00:05 00:0A:00:0A:00:0A:00:0A
102995	10	5	 19: 15.4 A |020F0000
103654	5	-	 37: 15.4 - 00:00:05:00:05:00:05:00 0x05FF|3F118806 1A572800 00000501 1C0001C8 00011B00
103694	9	-	 37: 15.4 - 00:00:09:00:09:00:09:00 0x09FF|3F118806 1A5B2800 00000201 1C0001C8 00011B00
104234	1	3,5,9,10	 96: 15.4 D 7A:00:01:00:01:00:01:00 0x01FF|3B3A1A9B 01E3951E F1008008 F00000FD 00000000 00000002 01000100 01000104 0E00080C 0A038000 80000100 1E003C08 1E404000 00000000 00000000 000000FD 00000000 00000000 00000000 000000
107604	3	-	 37: 15.4 - 00:00:03:00:03:00:03:00 0x03FF|3F118806 1AE22900 00000201 1C0001C8 00011B00
107644	5	1,2,3,7,8	 96: 15.4 D 7A:00:05:00:05:00:05:00 0x05FF|3B3A1A9B 01E0C71E F1033E08 F00000FD 00000000 00000002 01000100 01000104 0E00080C 0A038000 80000100 1E003C08 1E404000 00000000 00000000 000000FD 00000000 00000000 00000000 000000
107674	10	2,5	 37: 15.4 - 00:00:0A:00:0A:00:0A:00 0x0AFF|3F118806 1AE92900 00000201 1C0001C8 00011B00
111564	2	-	 37: 15.4 - 00:00:02:00:02:00:02:00 0x02FF|3F118806 1A6E2B00 00000201 1C0001C8 00011B00
111674	2	-	 96: 15.4 D 7A:00:02:00:02:00:02:00 0x02FF|3B3A1A9B 01E2611E F101B008 F00000FD 00000000 00000002 01000100 01000104 0E00080C 0A038000 80000100 1E003C08 1E404000 00000000 00000000 000000FD 00000000 00000000 00000000 000000
112254	2	-	 23: 15.4 D 98:6C:00:02:00:02:00:02 00:01:00:01:00:01:00:01
112424	2	-	 23: 15.4 D 98:6C:00:02:00:02:00:02 00:01:00:01:00:01:00:01
112594	2	1	 23: 15.4 D 98:6C:00:02:00:02:00:02 00:01:00:01:00:01:00:01
112595	1	-	 19: 15.4 A |020F0000
112764	2	1	 23: 15.4 D 98:6C:00:02:00:02:00:02 00:01:00:01:00:01:00:01
112765	1	2	 19: 15.4 A |020F0000
115144	10	1	 23: 15.4 D 2B:51:00:0A:00:0A:00:0A 00:01:00:01:00:01:00:01
115145	1	-	 19: 15.4 A |020F0000
115314	10	1	 23: 15.4 D 2B:51:00:0A:00:0A:00:0A 00:01:00:01:00:01:00:01
115315	1	10	 19: 15.4 A |020F0000
115524	1	-	 37: 15.4 - 00:00:01:00:01:00:01:00 0x01FF|3F118806 1AFA2C00 00000001 1C0001C8 00011B00
115994	3	1,4	 23: 15.4 D 64:B5:00:03:00:03:00:03 00:01:00:01:00:01:00:01
115995	1	3	 19: 15.4 A |020F0000
118634	5	7,10	 23: 15.4 D E2:D6:00:05:00:05:00:05 00:0A:00:0A:00:0A:00:0A
118635	10	5	 19: 15.4 A |020F0000
119534	5	-	 37: 15.4 - 00:00:05:00:05:00:05:00 0x05FF|3F118806 1A8B2E00 00000501 1C0001C8 00011B00
119574	9	-	 37: 15.4 - 00:00:09:00:09:00:09:00 0x09FF|3F118806 1A8F2E00 00000201 1C0001C8 00011B00
