17744	5	1,3,4,10	 96: 15.4 D 7A:00:05:00:05:00:05:00 0x05FF|3B3A1A9B 01D0C51E F1034018 F00000FD 00000000 00000002 01000100 01000104 0E00080C 0A038000 80000100 1E003C08 1E404000 00000000 00000000 000000FD 00000000 00000000 00000000 000000
18054	10	1,2,3,5,9	 96: 15.4 D 7A:00:0A:00:0A:00:0A:00 0x0AFF|3B3A1A9B 01D0B11E F1034018 F00000FD 00000000 00000002 01000100 01000104 0E00080C 0A038000 80000100 1E003C08 1E404000 00000000 00000000 000000FD 00000000 00000000 00000000 000000
18264	10	3	 76: 15.4 D 33:7A:00:0A:00:0A:00:0A 00:03:00:03:00:03:00:03|3A9B0239 C81EC000 F1FD0000 00000000 00020100 01000100 01051200 80FD0000 00000000 00020A00 0A000A00 0A060400 00001E
18267	3	4,10	 19: 15.4 A |020F0000
18414	3	1	 76: 15.4 D 33:7A:00:03:00:03:00:03 00:01:00:01:00:01:00:01|3A9B0239 EB1EC000 F2FD0000 00000000 00020100 01000100 01051200 80FD0000 00000000 00020A00 0A000A00 0A060400 00001E
18417	1	3	 19: 15.4 A |020F0000
18434	1	3	 34: 15.4 D 33:7A:00:01:00:01:00:01 00:03:00:03:00:03:00:03|3A9B0353 A71E00F2 00
18436	3	1,6	 19: 15.4 A |020F0000
18504	3	9,10	 34: 15.4 D 33:7A:00:03:00:03:00:03 00:0A:00:0A:00:0A:00:0A|3A9B0354 831E00F1 00
18506	10	3,9	 19: 15.4 A |020F0000
19624	5	3,8	 76: 15.4 D 33:7A:00:05:00:05:00:05 00:03:00:03:00:03:00:03|3A9B0239 F01EC000 F1FD0000 00000000 00020100 01000100 01051200 80FD0000 00000000 00020500 05000500 05060400 00001E
19627	3	5	 19: 15.4 A |020F0000
19774	3	1	 76: 15.4 D 33:7A:00:03:00:03:00:03 00:01:00:01:00:01:00:01|3A9B0239 FE1EC000 F3FD0000 00000000 00020100 01000100 01051200 80FD0000 00000000 00020500 05000500 05060400 00001E
19777	1	3	 19: 15.4 A |020F0000
19794	1	3	 34: 15.4 D 33:7A:00:01:00:01:00:01 00:03:00:03:00:03:00:03|3A9B0352 A71E00F3 00
19796	3	1	 19: 15.4 A |020F0000
19814	3	5	 34: 15.4 D 33:7A:00:03:00:03:00:03 00:05:00:05:00:05:00:05|3A9B0354 971E00F1 00
19816	5	3	 19: 15.4 A |020F0000
20244	1	2,3	 37: 15.4 - 00:00:01:00:01:00:01:00 0x01FF|3F118806 1AC20700 00000001 1C0001C8 00011B00
20264	3	4,5,10	 37: 15.4 - 00:00:03:00:03:00:03:00 0x03FF|3F118806 1AC40700 00000201 1C0001C8 00011B00
20284	2	1,9	 73: 15.4 D F5:7E:00:02:00:02:00:02 00:01:00:01:00:01:00:01|00020800 08000800 08E10663 04001E01 C0F01633 1633F55F 4001923A B4746573 74066368 756E6B73 FF546F67 676C6521
20287	1	2,9	 19: 15.4 A |020F0000
20334	10	-	 37: 15.4 - 00:00:0A:00:0A:00:0A:00 0x0AFF|3F118806 1ACB0700 00000501 1C0001C8 00011B00
23634	1	2,3,5,10	 96: 15.4 D 7A:00:01:00:01:00:01:00 0x01FF|3B3A1A9B 01D3951E F1008018 F00000FD 00000000 00000002 01000100 01000104 0E00080C 0A038000 80000100 1E003C08 1E404000 00000000 00000000 000000FD 00000000 00000000 00000000 000000
